id,name,age,gender,salary,join_date,email
1,name_1,56.0,Male,95304.0,27-04-2020,user1@example.com
2,name_2,46.0,Male,63408.0,2016-05-22,user2@example.com
3,name_3,32.0,F,59499.0,20-04-2016,user3@example.com
4,name_4,25.0,Female,72269.0,13-08-2018,user4@example.com
5, name_5 ,38.0,Male,629110.8128603298,13-06-2015,user5@example.com
6,name_6,56.0,F,94319.0,2016-04-29,invalid_email
7,name_7,36.0,M,,2019-06-09,user7@example.com
8,name_8,40.0,Male,55488.0,2017-12-31,user8@example.com
9,name_9,28.0,Male,94441.0,2016-07-20,user9@example.com
10,name_10,28.0,Male,94663.0,2017-06-23,user10@example.com
11,name_11,,Female,42431.0,2016-07-12,user11@example.com
12,name_12,53.0,Female,,2020-04-18,user12@example.com
13,name_13,57.0,Female,83483.0,21-05-2020,user13@example.com
14,name_14,41.0,Male,69153.0,26-08-2015,user14@example.com
15, name_15 ,20.0,M,26368.0,2018-02-01,user15@example.com
16,name_16,39.0,Male,,2018-05-18,user16@example.com
17,name_17,19.0,F,65004.0,07-07-2016,user17@example.com
18,name_18,41.0,Male,76985.0,2017-04-07,user18@example.com
19, name_19 ,47.0,Female,70069.0,2016-04-12,user19@example.com
20,name_20,55.0,Female,72326.0,2019-01-17,invalid_email
21,name_21,19.0,F,,2018-07-15,user21@example.com
22,name_22,38.0,F,70861.0,2016-01-21,user22@example.com
23, name_23 ,50.0,F,,2017-02-13,user23@example.com
24,name_24,,F,88577.0,2017-04-27,user24@example.com
25,name_25,39.0,Male,85641.0,22-01-2016,user25@example.com
26,name_26,42.0,Male,29078.0,2017-05-26,user26@example.com
27,name_27,44.0,Female,45003.0,16-09-2015,user27@example.com
28,name_28,59.0,Female,82768.0,2015-10-10,user28@example.com
29,name_29,45.0,M,71047.0,2019-07-08,user29@example.com
30,name_30,33.0,Female,91626.0,2020-03-13,invalid_email
31,name_31,32.0,F,77660.0,2015-02-09,user31@example.com
32,name_32,20.0,,69786.0,2016-04-30,user32@example.com
33, name_33 ,54.0,Female,,2017-07-17,user33@example.com
34,name_34,24.0,Female,875764.8311149486,2015-08-08,user34@example.com
35, name_35 ,38.0,F,53320.0,2018-02-26,user35@example.com
36,name_36,26.0,M,617647.4546157661,2017-10-11,user36@example.com
37, name_37 ,56.0,M,46289.0,2017-10-20,user37@example.com
38,name_38,35.0,M,23389.0,2019-03-24,user38@example.com
39,name_39,21.0,Female,45683.0,2016-09-04,user39@example.com
40,name_40,42.0,Female,778261.3795853583,16-07-2017,user40@example.com
41, name_41 ,31.0,,81550.0,2020-03-30,user41@example.com
42,name_42,26.0,Female,44826.0,2016-11-18,user42@example.com
43,name_43,43.0,Female,46630.0,2019-07-01,invalid_email
44,name_44,19.0,Female,66163.0,2016-09-04,user44@example.com
45,name_45,37.0,Female,86435.0,2015-09-17,invalid_email
46,name_46,45.0,Female,,2017-09-16,invalid_email
47,name_47,24.0,,47961.0,2017-08-23,user47@example.com
48,name_48,25.0,Female,94137.0,2016-01-01,user48@example.com
49,name_49,52.0,Male,53662.0,2019-11-17,user49@example.com
50,name_50,31.0,F,76446.0,2019-12-16,user50@example.com
51,name_51,34.0,Male,,2016-06-27,user51@example.com
52,name_52,53.0,Female,56877.0,2016-10-10,invalid_email
53,name_53,57.0,M,35313.0,2019-03-28,user53@example.com
54, name_54 ,21.0,Female,92715.0,2020-04-14,user54@example.com
55,name_55,19.0,Male,30326.0,24-03-2017,user55@example.com
56,name_56,23.0,Female,21560.0,2020-03-25,user56@example.com
57,name_57,59.0,,99148.0,2017-11-05,user57@example.com
58,name_58,21.0,Female,46745.0,2018-02-26,user58@example.com
59,name_59,46.0,Male,51890.0,2016-07-28,user59@example.com
60, name_60 ,,M,40022.0,06-02-2018,user60@example.com
61, name_61 ,43.0,,72579.0,2020-03-25,user61@example.com
62,name_62,51.0,F,90316.0,2017-10-09,user62@example.com
63,name_63,27.0,Male,48380.0,2019-04-06,user63@example.com
64,name_64,,Female,22356.0,31-10-2016,user64@example.com
65,name_65,31.0,Male,90326.0,2015-09-26,user65@example.com
66,name_66,48.0,M,40049.0,2018-03-31,user66@example.com
67,name_67,32.0,M,95717.0,2018-07-07,user67@example.com
68,name_68,25.0,Female,36082.0,12-07-2017,user68@example.com
69,name_69,31.0,Male,,2018-01-30,user69@example.com
70,name_70,40.0,Male,57412.0,10-03-2019,user70@example.com
71,name_71,57.0,Female,22920.0,2019-10-25,user71@example.com
72,name_72,,Female,80315.0,2019-05-14,user72@example.com
73,name_73,33.0,Female,99561.0,2015-09-04,user73@example.com
74,name_74,35.0,Female,28946.0,2019-07-22,user74@example.com
75,name_75,41.0,Male,65500.0,2019-12-24,user75@example.com
76,name_76,43.0,Male,36309.0,04-02-2020,user76@example.com
77, name_77 ,42.0,Male,75230.0,2019-04-10,user77@example.com
78,name_78,58.0,Male,50027.0,11-05-2015,user78@example.com
79,name_79,46.0,Female,,2015-12-19,user79@example.com
80, name_80 ,32.0,Male,,2015-07-15,user80@example.com
81, name_81 ,18.0,Male,20956.0,2019-12-22,user81@example.com
82,name_82,42.0,Female,94131.0,2020-04-23,user82@example.com
83,name_83,24.0,Male,67908.0,2017-07-18,user83@example.com
84,name_84,26.0,Male,98339.0,2019-08-17,user84@example.com
85,name_85,41.0,Male,,2018-11-06,user85@example.com
86, name_86 ,18.0,Male,59443.0,2017-10-18,user86@example.com
87,name_87,25.0,Male,59063.0,2016-10-06,user87@example.com
88,name_88,41.0,Male,24703.0,2015-08-15,user88@example.com
89,name_89,28.0,Female,85128.0,2016-12-01,user89@example.com
90,name_90,34.0,Female,92099.0,2019-02-08,user90@example.com
91,name_91,25.0,,45849.0,2019-02-09,user91@example.com
92,name_92,52.0,Male,51860.0,2015-09-22,user92@example.com
93,name_93,52.0,Female,51585.0,2018-10-27,user93@example.com
94,name_94,50.0,Male,42015.0,2019-02-18,user94@example.com
95, name_95 ,22.0,Male,,2018-12-28,user95@example.com
96, name_96 ,59.0,M,63585.0,2016-10-07,user96@example.com
97,name_97,56.0,,46958.0,30-07-2015,user97@example.com
98,name_98,58.0,Male,46017.0,15-05-2019,invalid_email
99,name_99,45.0,Female,96707.0,2020-05-17,user99@example.com
100,name_100,24.0,M,65350.0,2018-11-01,user100@example.com
101,name_101,26.0,Female,32201.0,2018-11-19,user101@example.com
102,name_102,25.0,F,49426.0,2019-01-13,invalid_email
103,name_103,,Male,37778.0,2017-07-31,user103@example.com
104,name_104,51.0,Female,65241.0,2018-10-19,user104@example.com
105,name_105,50.0,Male,62229.0,2020-03-14,user105@example.com
106,name_106,40.0,Female,68364.0,2016-04-01,invalid_email
107,name_107,41.0,Male,77056.0,2016-12-25,user107@example.com
108, name_108 ,54.0,Male,47490.0,2019-10-18,invalid_email
109,name_109,52.0,F,39975.0,2018-06-03,user109@example.com
110,name_110,57.0,Male,46723.0,2017-09-08,user110@example.com
111,name_111,39.0,Male,43279.0,2018-02-28,invalid_email
112,name_112,44.0,Female,98301.0,2016-08-10,user112@example.com
113, name_113 ,52.0,Male,31561.0,2016-04-20,user113@example.com
114,name_114,18.0,Male,86061.0,2019-12-27,user114@example.com
115,name_115,,F,69153.0,2017-09-12,user115@example.com
116,name_116,54.0,Female,53142.0,2018-07-24,user116@example.com
117,name_117,,Male,46916.0,05-06-2015,user117@example.com
118, name_118 ,20.0,Male,84324.0,2019-11-19,user118@example.com
119,name_119,18.0,Female,64965.0,2018-05-26,user119@example.com
120,name_120,22.0,Female,24648.0,2015-07-09,user120@example.com
121,name_121,43.0,Male,,2018-12-11,user121@example.com
122,name_122,31.0,Female,70677.0,2017-09-07,user122@example.com
123,name_123,56.0,Male,90135.0,2019-08-26,user123@example.com
124, name_124 ,44.0,,55046.0,2019-09-12,user124@example.com
125,name_125,26.0,Male,67064.0,2016-06-29,user125@example.com
126,name_126,32.0,Male,89350.0,2015-02-10,user126@example.com
127,name_127,32.0,Male,65893.0,2015-11-03,user127@example.com
128,name_128,43.0,Female,81272.0,2017-07-31,user128@example.com
129,name_129,59.0,Female,87649.0,2015-12-04,user129@example.com
130,name_130,,Female,,2018-08-30,user130@example.com
131,name_131,49.0,Female,,2018-01-03,user131@example.com
132, name_132 ,56.0,Male,41927.0,2017-08-10,user132@example.com
133,name_133,49.0,,,2015-10-06,user133@example.com
134,name_134,21.0,Male,32588.0,2018-04-14,user134@example.com
135,name_135,47.0,Male,72233.0,14-06-2017,user135@example.com
136, name_136 ,54.0,F,64738.0,2019-08-13,user136@example.com
137,name_137,40.0,M,53397.0,2015-09-30,user137@example.com
138,name_138,56.0,M,96367.0,2017-04-16,user138@example.com
139,name_139,32.0,,91260.0,2016-09-11,user139@example.com
140,name_140,46.0,,96619.0,2019-08-02,invalid_email
141,name_141,53.0,F,39816.0,2017-05-11,user141@example.com
142, name_142 ,,F,62240.0,2019-12-12,user142@example.com
143,name_143,49.0,Male,26276.0,26-02-2020,user143@example.com
144,name_144,24.0,Male,99530.0,2017-07-19,user144@example.com
145, name_145 ,39.0,,43499.0,2015-10-16,user145@example.com
146,name_146,45.0,Male,91635.0,2016-12-24,user146@example.com
147,name_147,19.0,M,55946.0,2017-06-11,user147@example.com
148, name_148 ,59.0,Male,75204.0,2015-09-29,user148@example.com
149,name_149,23.0,,71886.0,2020-05-07,user149@example.com
150,name_150,45.0,Male,91652.0,2017-12-25,user150@example.com
151,name_151,45.0,Female,35563.0,2016-04-27,user151@example.com
152,name_152,,Male,29847.0,2017-07-24,invalid_email
153, name_153 ,47.0,M,673122.833737696,2015-09-05,user153@example.com
154,name_154,28.0,Male,,2015-06-05,user154@example.com
155,name_155,45.0,Female,87278.0,2017-12-06,user155@example.com
156, name_156 ,42.0,Male,38309.0,2020-05-12,user156@example.com
157,name_157,56.0,Female,,2016-03-29,user157@example.com
158,name_158,,Female,70108.0,2015-07-20,user158@example.com
159,name_159,18.0,Female,54707.0,2019-08-11,invalid_email
160,name_160,44.0,M,40337.0,2015-05-04,user160@example.com
161,name_161,30.0,Male,86504.0,2015-01-01,user161@example.com
162,name_162,58.0,Male,763124.0975141962,2017-08-25,user162@example.com
163,name_163,20.0,M,20281.0,2019-11-18,user163@example.com
164,name_164,56.0,Female,47420.0,2017-05-04,user164@example.com
165, name_165 ,,,59030.0,2016-10-01,user165@example.com
166,name_166,25.0,,21058.0,2015-07-10,user166@example.com
167,name_167,44.0,Male,,2019-05-22,user167@example.com
168,name_168,26.0,Female,48404.0,2016-05-30,user168@example.com
169,name_169,54.0,Male,,17-03-2016,user169@example.com
170,name_170,50.0,Female,29200.0,2020-04-28,user170@example.com
171,name_171,59.0,Male,84178.0,2020-01-13,user171@example.com
172,name_172,,Male,53997.0,2020-01-04,user172@example.com
173,name_173,32.0,F,45611.0,2015-05-23,user173@example.com
174,name_174,49.0,,61235.0,29-04-2018,user174@example.com
175, name_175 ,49.0,Female,55057.0,2016-06-16,user175@example.com
176,name_176,41.0,Female,21239.0,2015-08-15,invalid_email
177,name_177,58.0,Male,85661.0,2018-08-29,invalid_email
178,name_178,29.0,Female,65272.0,11-07-2019,user178@example.com
179,name_179,56.0,Female,81212.0,2017-08-06,user179@example.com
180,name_180,,Female,35398.0,2018-08-18,user180@example.com
181,name_181,20.0,Male,76503.0,2019-08-05,user181@example.com
182,name_182,54.0,Male,26638.0,2016-04-04,invalid_email
183,name_183,34.0,Female,26570.0,2018-11-25,user183@example.com
184,name_184,,,88785.0,2016-07-04,invalid_email
185,name_185,19.0,Female,29110.0,2016-01-28,user185@example.com
186,name_186,45.0,Male,99141.0,2020-03-05,user186@example.com
187,name_187,40.0,Male,32115.0,2019-11-23,user187@example.com
188,name_188,54.0,Male,927318.5320325819,2017-04-24,user188@example.com
189,name_189,49.0,Male,42911.0,15-05-2018,user189@example.com
190,name_190,,F,52556.0,2015-07-29,user190@example.com
191, name_191 ,18.0,Female,98131.0,2018-02-12,user191@example.com
192,name_192,36.0,,21969.0,2019-10-27,user192@example.com
193, name_193 ,19.0,Male,63753.0,2016-10-07,user193@example.com
194,name_194,43.0,Female,24470.0,2018-06-28,user194@example.com
195,name_195,49.0,Female,30225.0,2015-08-07,user195@example.com
196,name_196,,Female,,2016-02-11,user196@example.com
197, name_197 ,49.0,Male,33669.0,2019-01-06,user197@example.com
198,name_198,21.0,Male,57380.0,2019-06-15,user198@example.com
199,name_199,28.0,,68320.0,2018-10-09,user199@example.com
200,name_200,34.0,Female,606431.5149801769,2017-06-06,user200@example.com
201, name_201 ,,F,35577.0,2016-07-11,user201@example.com
202, name_202 ,41.0,F,75409.0,2016-07-03,user202@example.com
203,name_203,22.0,M,48625.0,2015-05-22,user203@example.com
204,name_204,51.0,Male,44089.0,2016-09-03,user204@example.com
205,name_205,23.0,Female,56487.0,2016-05-15,user205@example.com
206, name_206 ,39.0,Male,85838.0,2017-04-19,user206@example.com
207,name_207,28.0,Male,70138.0,2016-12-02,user207@example.com
208,name_208,33.0,Male,62823.0,2019-04-20,user208@example.com
209,name_209,50.0,Male,57208.0,2019-08-10,user209@example.com
210,name_210,26.0,Female,74061.0,2019-04-15,user210@example.com
211,name_211,23.0,Male,50659.0,2020-02-13,user211@example.com
212,name_212,33.0,Male,51890.0,2019-03-11,user212@example.com
213,name_213,46.0,Male,99134.0,2016-08-18,user213@example.com
214,name_214,20.0,Male,67055.0,2020-03-19,user214@example.com
215,name_215,37.0,Female,39508.0,08-10-2015,user215@example.com
216,name_216,53.0,Female,62287.0,2016-02-28,user216@example.com
217,name_217,36.0,M,98916.0,2017-05-05,user217@example.com
218,name_218,43.0,,46984.0,2015-09-27,user218@example.com
219, name_219 ,20.0,,,2015-06-03,user219@example.com
220,name_220,,Male,653858.5528452503,2016-09-05,invalid_email
221,name_221,37.0,Male,89569.0,2019-10-17,user221@example.com
222, name_222 ,,Male,37087.0,2016-10-23,user222@example.com
223, name_223 ,24.0,F,25704.0,2020-05-21,user223@example.com
224,name_224,58.0,M,80576.0,2015-03-24,user224@example.com
225,name_225,50.0,F,,2019-07-04,user225@example.com
226,name_226,57.0,Female,92460.0,2017-08-04,user226@example.com
227,name_227,56.0,M,47208.0,2017-06-17,invalid_email
228, name_228 ,35.0,,86024.0,2018-12-20,user228@example.com
229,name_229,57.0,Female,59882.0,2018-07-22,user229@example.com
230,name_230,18.0,,45923.0,2019-10-03,user230@example.com
231,name_231,28.0,F,49165.0,2015-10-11,user231@example.com
232,name_232,,Female,87203.0,2017-09-06,user232@example.com
233,name_233,42.0,Female,24114.0,2015-06-22,user233@example.com
234,name_234,40.0,Male,84965.0,2018-09-12,user234@example.com
235,name_235,48.0,F,56321.0,2019-10-08,user235@example.com
236,name_236,47.0,Female,93297.0,2017-12-22,user236@example.com
237,name_237,59.0,Female,45426.0,2018-01-01,user237@example.com
238,name_238,,Male,37772.0,2017-02-01,user238@example.com
239,name_239,24.0,Female,23712.0,2019-07-18,user239@example.com
240, name_240 ,33.0,,21367.0,2018-10-30,user240@example.com
241,name_241,43.0,Female,945263.5423307654,24-09-2016,user241@example.com
242,name_242,19.0,Male,23726.0,2019-03-12,invalid_email
243,name_243,18.0,M,47723.0,2017-02-25,user243@example.com
244, name_244 ,29.0,Female,29108.0,2017-07-31,user244@example.com
245, name_245 ,22.0,F,97714.0,08-10-2017,user245@example.com
246,name_246,54.0,Male,55643.0,2016-02-02,user246@example.com
247,name_247,49.0,Female,51324.0,2018-02-17,user247@example.com
248,name_248,26.0,Male,28927.0,2017-07-22,invalid_email
249,name_249,58.0,Male,42443.0,2018-12-31,user249@example.com
250, name_250 ,,,99973.0,2020-01-27,user250@example.com
251,name_251,36.0,Male,83449.0,06-11-2016,user251@example.com
252, name_252 ,33.0,,96743.0,24-07-2017,user252@example.com
253,name_253,20.0,Female,80233.0,2016-04-09,user253@example.com
254, name_254 ,37.0,Male,45537.0,2015-10-13,user254@example.com
255,name_255,41.0,Male,97576.0,22-09-2015,user255@example.com
256,name_256,50.0,Female,741615.4909745355,16-11-2015,user256@example.com
257,name_257,41.0,M,,2016-11-03,user257@example.com
258,name_258,28.0,,55631.0,2018-10-31,user258@example.com
259,name_259,25.0,Female,,2017-03-30,user259@example.com
260,name_260,53.0,Female,84732.0,2015-03-30,user260@example.com
261,name_261,55.0,Male,21177.0,2019-08-05,user261@example.com
262,name_262,57.0,M,24760.0,2018-05-11,user262@example.com
263, name_263 ,37.0,Male,52779.0,31-03-2017,user263@example.com
264,name_264,52.0,F,41636.0,2019-10-29,user264@example.com
265, name_265 ,42.0,Male,73551.0,2017-09-27,user265@example.com
266, name_266 ,52.0,Female,31556.0,2020-06-01,user266@example.com
267, name_267 ,42.0,Male,47598.0,2015-11-30,user267@example.com
268,name_268,,Female,31563.0,2015-08-10,user268@example.com
269,name_269,35.0,M,66819.0,10-02-2015,user269@example.com
270,name_270,35.0,Male,93770.0,2019-09-28,user270@example.com
271,name_271,19.0,Male,46966.0,2015-03-09,user271@example.com
272, name_272 ,52.0,F,79889.0,2017-09-14,invalid_email
273,name_273,33.0,Female,46987.0,2019-12-05,user273@example.com
274,name_274,58.0,Male,98714.0,2016-05-28,user274@example.com
275,name_275,53.0,Male,78348.0,2020-03-11,user275@example.com
276,name_276,50.0,Female,44596.0,2019-07-19,user276@example.com
277,name_277,21.0,F,53174.0,04-07-2019,invalid_email
278,name_278,50.0,Female,84106.0,2019-06-10,user278@example.com
279,name_279,31.0,Male,89967.0,14-05-2020,user279@example.com
280, name_280 ,38.0,Female,79182.0,2019-07-14,user280@example.com
281,name_281,37.0,Male,59310.0,2018-02-24,user281@example.com
282,name_282,25.0,Female,76088.0,2018-07-02,user282@example.com
283,name_283,24.0,Male,28906.0,2016-11-25,invalid_email
284,name_284,20.0,Female,56914.0,2017-11-05,user284@example.com
285,name_285,34.0,Female,65379.0,2016-04-21,user285@example.com
286,name_286,50.0,,98612.0,2017-12-21,user286@example.com
287, name_287 ,29.0,Female,57650.0,2017-05-30,user287@example.com
288,name_288,39.0,F,66881.0,07-03-2016,user288@example.com
289,name_289,39.0,Male,66413.0,2019-08-21,user289@example.com
290, name_290 ,47.0,,26012.0,2015-09-25,user290@example.com
291,name_291,55.0,Female,70115.0,2017-11-24,invalid_email
292,name_292,55.0,Female,27151.0,2017-02-17,user292@example.com
293,name_293,25.0,,77716.0,2019-05-19,user293@example.com
294,name_294,44.0,Female,56378.0,08-05-2016,user294@example.com
295, name_295 ,44.0,Male,62652.0,2019-05-05,user295@example.com
296,name_296,51.0,Female,92430.0,2019-02-01,user296@example.com
297,name_297,38.0,F,33467.0,2019-11-26,user297@example.com
298,name_298,47.0,Male,51010.0,2016-10-22,user298@example.com
299,name_299,50.0,F,74691.0,2018-09-10,user299@example.com
300,name_300,,Male,84157.0,2018-08-20,invalid_email
301,name_301,50.0,Male,32289.0,23-07-2018,user301@example.com
302,name_302,22.0,Female,64976.0,2020-03-07,user302@example.com
303, name_303 ,36.0,Male,63596.0,2020-06-09,user303@example.com
304, name_304 ,21.0,Female,43171.0,2019-09-04,user304@example.com
305,name_305,,Female,963546.8503727119,2020-05-06,user305@example.com
306,name_306,34.0,Male,68713.0,09-10-2017,user306@example.com
307,name_307,45.0,,49734.0,09-05-2018,user307@example.com
308,name_308,47.0,Male,92588.0,2019-01-08,user308@example.com
309, name_309 ,46.0,Male,83646.0,2020-04-12,user309@example.com
310,name_310,23.0,Female,23654.0,2018-09-09,user310@example.com
311,name_311,52.0,F,884061.5505676167,2017-11-24,user311@example.com
312,name_312,58.0,,,03-09-2017,invalid_email
313,name_313,54.0,Female,94172.0,2016-04-26,user313@example.com
314,name_314,41.0,Female,26441.0,2016-12-28,invalid_email
315,name_315,46.0,F,972974.6056177088,2016-04-24,user315@example.com
316,name_316,,Female,32149.0,2017-12-24,user316@example.com
317, name_317 ,52.0,M,79189.0,2017-10-28,user317@example.com
318,name_318,50.0,Male,727438.3962116393,2018-08-17,user318@example.com
319,name_319,38.0,F,,2015-12-09,user319@example.com
320,name_320,49.0,M,62668.0,2018-12-25,user320@example.com
321,name_321,40.0,Male,33673.0,2018-12-18,user321@example.com
322,name_322,50.0,Male,,28-11-2015,user322@example.com
323,name_323,20.0,Female,85429.0,2016-03-13,user323@example.com
324,name_324,35.0,Female,43669.0,2019-05-31,user324@example.com
325,name_325,42.0,,,2015-06-23,user325@example.com
326,name_326,59.0,Male,770452.9710391088,2016-07-12,user326@example.com
327,name_327,48.0,Female,72249.0,2016-06-10,user327@example.com
328,name_328,20.0,Female,57384.0,2020-03-11,invalid_email
329,name_329,57.0,Male,,2016-10-20,user329@example.com
330,name_330,41.0,Female,95388.0,2015-01-26,user330@example.com
331,name_331,49.0,Female,51401.0,2017-03-30,user331@example.com
332,name_332,39.0,Male,,2016-08-27,user332@example.com
333,name_333,40.0,Male,54084.0,2016-02-10,user333@example.com
334, name_334 ,19.0,Male,,2015-08-20,user334@example.com
335,name_335,,Female,56451.0,2016-06-16,user335@example.com
336,name_336,59.0,Female,27227.0,2020-01-17,user336@example.com
337,name_337,19.0,Female,51910.0,2019-04-23,user337@example.com
338,name_338,43.0,Male,56041.0,2019-12-17,user338@example.com
339, name_339 ,34.0,Male,85681.0,2016-05-19,user339@example.com
340, name_340 ,57.0,Female,85481.0,2019-08-20,user340@example.com
341,name_341,50.0,Female,88576.0,2015-06-28,user341@example.com
342,name_342,26.0,Male,84174.0,2015-05-12,user342@example.com
343,name_343,56.0,Male,46160.0,2020-01-21,user343@example.com
344,name_344,46.0,Male,37633.0,2019-01-18,user344@example.com
345, name_345 ,,M,37014.0,2015-12-14,user345@example.com
346,name_346,43.0,,69104.0,2016-06-23,user346@example.com
347,name_347,52.0,M,,2017-02-10,user347@example.com
348,name_348,42.0,F,97231.0,2018-11-30,user348@example.com
349,name_349,41.0,Female,88388.0,2015-03-17,user349@example.com
350,name_350,30.0,Female,36014.0,18-05-2020,user350@example.com
351,name_351,24.0,Male,53755.0,01-08-2016,user351@example.com
352,name_352,53.0,,,03-05-2017,user352@example.com
353,name_353,,M,43711.0,2019-02-24,user353@example.com
354,name_354,18.0,,77993.0,2015-07-13,user354@example.com
355,name_355,25.0,Female,94696.0,2018-03-31,user355@example.com
356,name_356,33.0,Male,47213.0,2015-12-13,user356@example.com
357,name_357,31.0,Male,77784.0,2017-08-08,user357@example.com
358,name_358,,Female,27421.0,16-10-2018,invalid_email
359,name_359,40.0,M,37727.0,2019-11-28,user359@example.com
360, name_360 ,32.0,F,635142.0159561048,2019-05-27,invalid_email
361, name_361 ,45.0,Female,85108.0,2018-01-15,user361@example.com
362,name_362,51.0,,,2020-05-11,user362@example.com
363, name_363 ,19.0,Female,51910.0,2018-07-09,user363@example.com
364,name_364,49.0,Female,75754.0,2015-08-02,user364@example.com
365,name_365,40.0,,82438.0,2019-08-16,user365@example.com
366, name_366 ,,Female,49371.0,2019-10-12,invalid_email
367,name_367,42.0,F,71501.0,2020-04-20,user367@example.com
368,name_368,39.0,Male,80946.0,26-07-2016,user368@example.com
369,name_369,39.0,Male,58467.0,2017-02-18,user369@example.com
370, name_370 ,,,,2015-09-19,user370@example.com
371,name_371,23.0,M,53893.0,2016-12-30,user371@example.com
372,name_372,32.0,Female,96329.0,2015-10-10,user372@example.com
373,name_373,54.0,Male,51007.0,2019-07-30,user373@example.com
374,name_374,,F,,2019-01-30,user374@example.com
375,name_375,25.0,Male,74253.0,2018-11-04,user375@example.com
376,name_376,22.0,Male,32323.0,2015-12-28,user376@example.com
377, name_377 ,56.0,M,93379.0,12-01-2019,user377@example.com
378,name_378,21.0,Female,34210.0,16-03-2016,user378@example.com
379, name_379 ,23.0,Male,36456.0,2015-04-03,user379@example.com
380,name_380,49.0,Female,51367.0,2019-07-03,invalid_email
381,name_381,47.0,Female,74624.0,2017-01-22,user381@example.com
382, name_382 ,52.0,Male,30106.0,2017-05-16,user382@example.com
383,name_383,57.0,Male,88008.0,2018-12-18,user383@example.com
384,name_384,33.0,Male,92240.0,2015-05-22,invalid_email
385, name_385 ,30.0,F,84315.0,2018-08-07,user385@example.com
386,name_386,59.0,Male,89249.0,2018-12-26,user386@example.com
387,name_387,47.0,Female,90587.0,2017-01-18,user387@example.com
388,name_388,36.0,Female,30756.0,2020-02-19,user388@example.com
389,name_389,,M,88011.0,2020-01-22,invalid_email
390,name_390,36.0,Male,56378.0,09-09-2019,user390@example.com
391,name_391,45.0,Female,786107.8746284076,2016-10-14,user391@example.com
392,name_392,43.0,Female,34484.0,2016-12-01,invalid_email
393,name_393,54.0,,76549.0,2017-09-24,user393@example.com
394,name_394,43.0,Male,54503.0,2015-02-18,user394@example.com
395,name_395,40.0,Female,93794.0,2018-08-18,user395@example.com
396,name_396,26.0,Male,65113.0,2017-05-30,user396@example.com
397,name_397,29.0,Female,94069.0,2018-04-28,user397@example.com
398, name_398 ,18.0,Female,,2018-03-05,user398@example.com
399,name_399,18.0,,39201.0,2016-07-08,user399@example.com
400, name_400 ,,Female,78576.0,2016-02-08,user400@example.com
401, name_401 ,49.0,Male,802175.8483236514,2017-06-10,user401@example.com
402,name_402,42.0,Male,73363.0,2017-05-14,user402@example.com
403,name_403,57.0,Female,,2016-08-24,user403@example.com
404,name_404,18.0,Male,64843.0,2020-01-05,invalid_email
